"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C55","1","100nF","","","","",""
"C58","1","51pF","","","","",""
"C59","1","20pF","","","","",""
"C61,C65,C66","3","91pF","","","","",""
"C62","1","39pF","","","","",""
"C63","1","68pF","","","","",""
"C64","1","82pF","","","","",""
"C68","1","10uF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2208231630_Samsung-Electro-Mechanics-CL05A106MQ5NUNC_C15525.pdf"
"C80,C81,C89","3","43pF 1%","","","","",""
"D1","1","Red","","","","PCM_JLCPCB:D_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_1810231112_Hubei-KENTO-Elec-KT-0603R_C2286.pdf"
"D3,D4","2","MB10S","","","","MB10S:SOIC245P670X290-4N",""
"FB1,FB2,FB4","3","","","","","PCM_JLCPCB:FB_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2310301640_Sunlord-GZ2012D101TF_C1015.pdf,https://www.lcsc.com/datasheet/lcsc_datasheet_2310301640_Sunlord-GZ2012D601TF_C1017.pdf"
"FB3","1","FB","","","","",""
"J1","1","His Excellence","","","","",""
"J2","1","Optional 5V DC Jack","","","","",""
"J4","1","IQ Out","","","","",""
